AZN.L,HSBA.L,RMV.L
3161.336426,366.533875,184.427719
3116.433594,364.683807,183.276138
3086.014893,366.765167,177.606873
3049.078613,361.793213,176.62616
3114.260986,358.613617,178.49852
3154.456543,365.840149,177.785202
3191.393555,366.880798,178.409348
3088.549805,356.705719,178.052704
3059.942139,356.763611,184.204742
3032.059082,360.636993,181.797409
3019.746094,356.879089,180.638351
3067.546875,361.44635,184.472229
3126.210693,364.8573,184.561386
3139.247314,369.157593,184.918015
3134.177246,367.814362,184.383072
3162.7854,363.259003,180.281677
3184.512451,365.361481,181.351624
3218.551514,366.763092,181.173309
3259.110596,367.405548,189.286911
3290.614502,373.479279,188.127792
3273.957275,366.704773,190.000183
3310.894531,364.602264,192.496658
3346.019287,369.916931,196.687149
3325.37793,371.260223,191.605057
3329.362061,367.931244,192.496658
3339.501465,371.260223,195.349762
3373.178467,372.31131,196.687149
3396.716797,371.20166,193.031616
3427.135742,372.544922,195.70639
3371.730469,375.348297,198.648697
3329.000488,373.771332,198.737823
3393.096436,373.771332,201.412659
3452.121826,369.975281,203.195831
3411.92627,365.186371,204.711578
3433.65332,368.80722,206.583939
3411.92627,367.113495,207.029724
3386.577148,371.727173,199.986084
3374.98999,370.267242,194.903976
3418.806885,368.982391,194.814835
3461.898438,372.019409,194.63649
3411.201904,365.011108,193.299103
3392.371094,371.260223,193.120773
3385.491211,369.683136,194.01236
3403.235352,366.763092,194.993103
3432.567139,375.581787,195.795563
3400.700439,373.36261,194.814835
3303.651855,363.667877,190.713425
3391.647217,362.616638,191.605057
3395.268066,359.3461,192.585815
3311.97998,352.396332,189.911026
3223.260498,345.855347,187.325363
3252.22998,352.454712,191.694199
3222.174316,346.26413,192.853256
3311.61792,348.541779,196.508865
3306.186279,354.790802,198.916153
3333.706787,357.418854,199.807755
3271.060059,357.769257,200.253586
3299.306641,358.703766,199.986084
3300.391846,362.032562,196.152206
3289.890625,355.783752,198.826996
