AZN.L,HSBA.L,RMV.L
1101.351563,327.580444,34.113281
1102.391235,329.676605,33.712429
1087.318481,331.963501,33.672337
1106.029663,335.203094,33.632252
1093.035767,335.203094,32.990871
1105.509766,339.014404,35.275784
1083.680176,333.869141,32.95079
1091.996216,338.252167,31.828381
1096.673828,335.965393,32.229233
1081.601318,330.057861,32.229233
1078.482788,336.155823,32.149063
1086.798706,341.301208,31.267162
1107.06897,340.538879,30.585709
1127.859009,339.967163,30.906389
1156.445435,339.776672,30.365232
1189.709473,341.872833,31.066738
1176.195923,333.869141,30.425364
1174.116943,332.625305,29.864151
1154.885986,328.29303,30.064583
1132.016846,326.560028,29.824068
1132.016846,326.560028,29.383123
1133.056396,326.271271,29.844109
1146.569702,326.174927,29.102514
1146.050415,328.29303,28.180538
1133.056396,328.389221,27.258556
1143.451416,329.640778,26.456829
1133.056396,330.796173,26.096058
1140.33313,330.988556,27.258556
1111.746826,322.901703,26.456829
1104.98999,320.205994,25.695196
1097.713501,322.035187,26.055971
1082.640503,314.333344,26.336578
1099.79248,319.05072,26.697357
1094.595215,316.547699,26.516962
1084.719849,317.606598,26.456829
1089.397339,318.184174,27.178383
1095.634277,313.851959,26.055971
1095.634277,313.851959,25.655109
1087.318481,307.209076,24.051668
1121.102417,309.230835,23.229904
1108.628052,308.749542,23.610722
1129.418457,313.755707,23.891321
1117.464111,303.261841,22.468266
1092.515869,299.603455,22.267838
1113.306152,298.737061,21.486155
1107.06897,290.553802,20.283575
1160.603516,293.441986,19.842628
1202.703003,296.522614,19.441765
1224.532837,290.361145,19.962887
1221.414185,297.00412,20.063099
1242.204346,292.286743,19.060947
1277.027466,296.811523,19.622152
1229.730225,292.671692,19.421721
1191.268555,281.985382,17.798233
1176.715454,284.584656,18.038754
1182.952515,275.534973,17.798233
1171.518555,280.348633,17.978626
1160.603516,294.404633,19.481852
1180.873657,305.765015,21.646502
1189.709473,313.659393,22.628611
1207.900513,313.2742,23.390249
1203.222656,324.730865,24.051668
1219.334961,322.709137,23.891321
1229.210449,318.858093,22.688742
1187.110596,315.777344,22.107498
1202.703003,317.510345,23.069561
1242.204346,326.174927,22.969343
1282.744751,323.094299,23.811152
1266.632935,322.323944,23.249949
1292.620117,318.858093,23.129686
1324.844971,329.544495,25.975803
